Known As,Full Name,Best Position,Nationality,Club Name
Gerson,Gerson Santos da Silva,CDM,Brazil,Olympique de Marseille
F. Guilbert,Frédéric Guilbert,RWB,France,Aston Villa
Nuno Santos,Nuno Miguel Gomes dos Santos,LW,Portugal,Sporting CP
K. Walker-Peters,Kyle Walker-Peters,RB,England,Southampton
M. Thuram,Marcus Thuram,ST,France,Borussia Mönchengladbach
Pedraza,Alfonso Pedraza Sag,LB,Spain,Villarreal CF
F. Grillitsch,Florian Grillitsch,CM,Austria,Ajax
E. Audero,Emil Audero,GK,Italy,U.C. Sampdoria
S. Sensi,Stefano Sensi,CAM,Italy,AC Monza
J. Aidoo,Joseph Aidoo,CB,Ghana,RC Celta de Vigo
Arturo Inálcio,Arturo Adolfo Inálcio Dutra,CM,Brazil,Flamengo
L. Nmecha,Lukas Nmecha,ST,Germany,VfL Wolfsburg
Gerson Armão,Gérson Adriano Gutierres Serra,LB,Brazil,Internacional
Wellington Sabrão,Wellingt. Edson Sabrão Rolim,RB,Brazil,Flamengo
Zervandro,A. Zervandro Chiamuloira Paes,CB,Brazil,Internacional
Pedrão Tofico,Pedro Tofico Dourado Hermes,CB,Brazil,Flamengo
Hediselton,Hediselton Simão Resende,RB,Brazil,RB Bragantino
Albertinho Dutra,Alberto Marcelo Dutra Cirino,LW,Brazil,São Paulo
Guilson Paiva,G. Pierre Paiva Souza,RM,Brazil,Flamengo
Dante,Dante Bonfim Costa Santos,CB,Brazil,OGC Nice
T. Mings,Tyrone Mings,CB,England,Aston Villa
K. Koné,Kouadio Manu Koné,CAM,France,Borussia Mönchengladbach
Igor Coronado,Igor Caique Coronado,CAM,Brazil,Al Ittihad
S. Kritsyuk,Stanislav Kritsyuk,GK,Russia,Gil Vicente FC
A. Tameze,Adrien Tameze,CDM,France,Hellas Verona
F. Tait,Flavien Tait,CM,France,Stade Rennais FC
J. Mojica,Johan Mojica,LB,Colombia,Villarreal CF
P. Díaz,Paulo Díaz,CB,Chile,River Plate
C. Izquierdoz,Carlos Izquierdoz,CB,Argentina,Real Sporting de Gijón
D. Benedetto,Darío Benedetto,ST,Argentina,Boca Juniors
M. Borjan,Milan Borjan,GK,Canada,Free agent
K. Rekik,Karim Rekik,CB,Netherlands,Sevilla FC
M. Batshuayi,Michy Batshuayi,ST,Belgium,Fenerbahçe SK
C. Kramer,Christoph Kramer,CDM,Germany,Borussia Mönchengladbach
D. Suárez,Damián Suárez,RB,Uruguay,Getafe CF
P. Kadeřábek,Pavel Kadeřábek,RWB,Czech Republic,TSG Hoffenheim
D. Demme,Diego Demme,CDM,Germany,Napoli
N. Dorsch,Niklas Dorsch,CM,Germany,FC Augsburg
A. Gomis,Alfred Gomis,GK,Senegal,Stade Rennais FC
David López,David López Silva,CDM,Spain,Girona FC
M. Doherty,Matt Doherty,RWB,Republic of Ireland,Tottenham Hotspur
M. Icardi,Mauro Icardi,ST,Argentina,Galatasaray SK
B. Lecomte,Benjamin Lecomte,GK,France,RCD Espanyol de Barcelona
Cristian Tello,Cristian Tello Herrera,LM,Spain,Los Angeles FC
Vitolo,Víctor Machín Pérez,LM,Spain,Unión Deportiva Las Palmas
N. Pallois,Nicolas Pallois,CB,France,FC Nantes
A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,CAM,England,Liverpool
F. Midtsjø,Fredrik Midtsjø,CM,Norway,Galatasaray SK
J. Svensson,Jonas Svensson,RB,Norway,Adana Demirspor
Rodrigo,Rodrigo Moreno Machado,LW,Spain,Leeds United
D. Burn,Dan Burn,CB,England,Newcastle United
L. Augustinsson,Ludwig Augustinsson,LB,Sweden,Aston Villa
R. Bazoer,Riechedly Bazoer,CM,Netherlands,AZ Alkmaar
I. Toney,Ivan Toney,ST,England,Brentford
A. Djiku,Alexander Djiku,CB,Ghana,RC Strasbourg Alsace
I. Diop,Issa Diop,CB,France,Fulham
J. Harrison,Jack Harrison,LM,England,Leeds United
D. James,Daniel James,RM,Wales,Fulham
K. Tsimikas,Konstantinos Tsimikas,LB,Greece,Liverpool
Isi Palazón,Isaac Palazón Camacho,RM,Spain,Rayo Vallecano
R. Doan,Ritsu Doan,CAM,Japan,Sport-Club Freiburg
A. Vega,Alexis Vega,CAM,Mexico,Free agent
M. Turner,Matt Turner,GK,United States,Arsenal
R. Kristensen,Rasmus Kristensen,RWB,Denmark,Leeds United
S. Villa,Sebastián Villa,RM,Colombia,Boca Juniors
Bruno Viana,Bruno Viana Willemen Da Silva,CB,Brazil,Wuhan FC
Gedson Fernandes,Gedson Carvalho Fernandes,CAM,Portugal,Beşiktaş JK
Iago,Iago Amaral Borduchi,LWB,Brazil,FC Augsburg
Z. Steffen,Zack Steffen,GK,United States,Middlesbrough
Domingos Duarte,Domingos Sousa Menezes Duarte,CB,Portugal,Getafe CF
W. Faes,Wout Faes,CB,Belgium,Leicester City
I. Sarr,Ismaïla Sarr,RM,Senegal,Watford
Brais Méndez,Brais Méndez Portela,CAM,Spain,Real Sociedad
G. Maggiore,Giulio Maggiore,CM,Italy,US Salernitana 1919
S. Lukić,Saša Lukić,CM,Serbia,Torino F.C.
Davidson,Davidson Da Luz Pereira,LM,Brazil,Wuhan Three Towns
C. McGregor,Callum McGregor,CDM,Scotland,Celtic
D. Alli,Dele Alli,ST,England,Beşiktaş JK
Bruma,Armindo Tué Na Bangna,LW,Portugal,Fenerbahçe SK
S. Boufal,Sofiane Boufal,CAM,Morocco,Angers SCO
D. Lazović,Darko Lazović,LM,Serbia,Hellas Verona
P. Max,Philipp Max,LB,Germany,PSV
F. Lejeune,Florian Lejeune,CB,France,Rayo Vallecano
R. Gikiewicz,Rafał Gikiewicz,GK,Poland,FC Augsburg
Hugo Mallo,Hugo Mallo Novegil,RB,Spain,RC Celta de Vigo
B. Yılmaz,Burak Yılmaz,ST,Turkey,Fortuna Sittard
M. Casco,Milton Casco,RM,Argentina,River Plate
S. Widmer,Silvan Widmer,RWB,Switzerland,1. FSV Mainz 05
Ander Capa,Ander Capa Rodríguez,RB,Spain,Athletic Club de Bilbao
I. Bebou,Ihlas Bebou,RW,Togo,TSG Hoffenheim
Danilo,Danilo Teodoro Soares,LB,Brazil,VfL Bochum 1848
J. Beauguel,Jean-David Beauguel,ST,France,Al Wehda
M. Simon,Moses Simon,LM,Nigeria,FC Nantes
A. Blake,Andre Blake,GK,Jamaica,Philadelphia Union
M. Targett,Matt Targett,LB,England,Newcastle United
M. Vecino,Matias Vecino,CM,Uruguay,Lazio
J. Denayer,Jason Denayer,CB,Belgium,Free agent
Y. Mina,Yerry Mina,CB,Colombia,Everton
D. Gray,Demarai Gray,RW,England,Everton
A. Živković,Andrija Živković,RW,Serbia,PAOK
F. Honorat,Franck Honorat,LM,France,Stade Brestois 29
M. Oršić,Mislav Oršić,LW,Croatia,Dinamo Zagreb
N. Elvedi,Nico Elvedi,CB,Switzerland,Borussia Mönchengladbach
L. Boyé,Lucas Boyé,ST,Argentina,Elche CF
B. Embolo,Breel Embolo,ST,Switzerland,AS Monaco
M. Friedrich,Marvin Friedrich,CB,Germany,Borussia Mönchengladbach
Dani Ceballos,Daniel Ceballos Fernández,CM,Spain,Real Madrid CF
R. Aguilar,Ruben Aguilar,RB,France,AS Monaco
S. Lainer,Stefan Lainer,RB,Austria,Borussia Mönchengladbach
Pedro Chirivella,Pedro Chirivella Burgos,CDM,Spain,FC Nantes
M. Schwäbe,Marvin Schwäbe,GK,Germany,1. FC Köln
Dyego Sousa,Dyego Wilverson Ferreira Sousa,ST,Portugal,Unión Deportiva Almería
J. Andersen,Joachim Andersen,CDM,Denmark,Crystal Palace
Pepe Reina,José Manuel Reina Páez,GK,Spain,Villarreal CF
Nani,Luís Carlos Almeida da Cunha,CAM,Portugal,Melbourne Victory
G. Pezzella,Germán Pezzella,CB,Argentina,Real Betis Balompié
Negredo,Álvaro Negredo Sánchez,ST,Spain,Cádiz CF
R. Soriano,Roberto Soriano,CAM,Italy,Bologna
Aitor,Aitor Fernández,GK,Spain,CA Osasuna
C. Trimmel,Christopher Trimmel,RWB,Austria,1. FC Union Berlin
L. Rodríguez,Luis Miguel Rodríguez,CAM,Argentina,Club Atlético Colón
S. El Shaarawy,Stephan El Shaarawy,LW,Italy,Roma
P. Groß,Pascal Groß,CM,Germany,Brighton & Hove Albion
Illarramendi,Asier Illarramendi,CM,Spain,Real Sociedad
De Marcos,Oscar De Marcos Arana,RB,Spain,Athletic Club de Bilbao
Fidel,Fidel Chaves de la Torre,LM,Spain,Elche CF
J. Shelvey,Jonjo Shelvey,CM,England,Newcastle United
G. Bou,Gustavo Bou,ST,Argentina,New England Revolution
Rochina,Rubén Rochina Naixes,CAM,Spain,Granada CF
M. Suárez,Matías Suárez,CAM,Argentina,River Plate
A. Dzyuba,Artem Dzyuba,ST,Russia,Adana Demirspor
C. Kouyaté,Cheikhou Kouyaté,CDM,Senegal,Nottingham Forest
Montoro,Ángel Montoro Sánchez,CDM,Spain,Real Oviedo
M. Balotelli,Mario Balotelli,ST,Italy,FC Sion
C. Stuani,Cristhian Stuani,ST,Uruguay,Girona FC
M. Sissoko,Moussa Sissoko,CDM,France,FC Nantes
D. Godín,Diego Godín,CB,Uruguay,Vélez Sarsfield
Sidnei,Sidnei Rechel da Silva Júnior,CB,Brazil,Unión Deportiva Las Palmas
S. Jovetić,Stevan Jovetić,ST,Montenegro,Hertha BSC
Willian,Willian Borges da Silva,RM,Brazil,Fulham
K. Gameiro,Kévin Gameiro,ST,France,RC Strasbourg Alsace
A. Guardado,Andrés Guardado,CM,Mexico,Real Betis Balompié
S. Sirigu,Salvatore Sirigu,GK,Italy,Napoli
Jorge Molina,Jorge Molina Vidal,ST,Spain,Granada CF
U. Sadiq,Umar Sadiq,ST,Nigeria,Real Sociedad
V. Rosier,Valentin Rosier,RB,France,Beşiktaş JK
T. Awoniyi,Taiwo Awoniyi,ST,Nigeria,Nottingham Forest
K. Thuram,Khéphren Thuram,CM,France,OGC Nice
Adrià Pedrosa,Adrià Giner Pedrosa,LM,Spain,RCD Espanyol de Barcelona
Arthur Cabral,Arthur Mendonça Cabral,ST,Brazil,Fiorentina
A. Hložek,Adam Hložek,ST,Czech Republic,Bayer 04 Leverkusen
Alberto Moreno,Alberto Moreno Pérez,LB,Spain,Villarreal CF
M. Camara,Mohamed Camara,CDM,Mali,AS Monaco
Bryan Gil,Bryan Gil Salvatierra,CAM,Spain,Tottenham Hotspur
D. Hancko,Dávid Hancko,CB,Slovakia,Feyenoord
G. Plata,Gonzalo Plata,CAM,Ecuador,Real Valladolid CF
Tuta,Lucas Silva Melo,CB,Brazil,Eintracht Frankfurt
Unai Vencedor,Unai Vencedor Paris,CM,Spain,Athletic Club de Bilbao
M. Kilman,Max Kilman,CB,England,Wolverhampton Wanderers
J. Maas,Jan Maas,CB,Netherlands,AFC Richmond
R. Montlaur,Richard Montlaur,CDM,France,AFC Richmond
S. Dest,Sergiño Dest,RM,United States,AC Milan
J. Kuchta,Jan Kuchta,ST,Czech Republic,AC Sparta Praha
Fábio Vieira,Fábio Daniel Ferreira Vieira,CAM,Portugal,Arsenal
N. Madueke,Noni Madueke,CAM,England,PSV
M. Ugarte,Manuel Ugarte,CM,Uruguay,Sporting CP
Z. Feddal,Zouhair Feddal,CB,Morocco,Real Valladolid CF
M. Livaja,Marko Livaja,ST,Croatia,Hajduk Split
G. Reyna,Giovanni Reyna,CAM,United States,Borussia Dortmund
J. Teze,Jordan Teze,CB,Netherlands,PSV
Y. Poulsen,Yussuf Poulsen,ST,Denmark,RB Leipzig
Galeno,Wenderson Nascimento Galeno,RM,Brazil,FC Porto
B. Badiashile,Benoît Badiashile,CB,France,AS Monaco
M. Barrow,Musa Barrow,ST,Gambia,Bologna
P. Daka,Patson Daka,ST,Zambia,Leicester City
L. Geertruida,Lutsharel Geertruida,CB,Netherlands,Feyenoord
Gorosabel,Andoni Gorosabel Espinosa,RB,Spain,Real Sociedad
O. Skipp,Oliver Skipp,CDM,England,Tottenham Hotspur
M. Olivera,Mathías Olivera,LB,Uruguay,Napoli
D. Frattesi,Davide Frattesi,CAM,Italy,U.S. Sassuolo Calcio
M. Pessina,Matteo Pessina,CAM,Italy,AC Monza
Pepê,Eduardo Gabriel Aquino Cossa,RM,Brazil,FC Porto
Eric García,Eric García Martret,CDM,Spain,FC Barcelona
D. Zagadou,Dan-Axel Zagadou,CB,France,VfB Stuttgart
M. Demiral,Merih Demiral,CB,Turkey,Atalanta
V. Castellanos,Valentin Castellanos,ST,Argentina,Girona FC
De Frutos,Jorge de Frutos Sebastián,CAM,Spain,Levante Unión Deportiva
M. Lacroix,Maxence Lacroix,CB,France,VfL Wolfsburg
D. Undav,Deniz Undav,ST,Germany,Brighton & Hove Albion
A. Lookman,Ademola Lookman,RM,England,Atalanta
M. Shaparenko,Mykola Shaparenko,CAM,Ukraine,Dynamo Kyiv
M. Salisu,Mohammed Salisu,CB,Ghana,Southampton
J. Ferri,Jordan Ferri,CDM,France,Montpellier Hérault SC
Willian Arão,Willian Souza Arão da Silva,CDM,Brazil,Fenerbahçe SK
Hugo Duro,Hugo Duro Perales,ST,Spain,Valencia CF
Leander Baia,Alessandro L. Baia Marques,RB,Brazil,Clube Atlético Mineiro
M. Marega,Moussa Marega,ST,Mali,Al Hilal
R. Holding,Rob Holding,CB,England,Arsenal
B. Henrichs,Benjamin Henrichs,RWB,Germany,RB Leipzig
K. Dolberg,Kasper Dolberg,ST,Denmark,Sevilla FC
Robert Sánchez,Robert Lynch Sánchez,GK,Spain,Brighton & Hove Albion
R. Krunić,Rade Krunić,CM,Bosnia and Herzegovina,AC Milan
A. Disasi,Axel Disasi,CB,France,AS Monaco
C. Montes,César Montes,CB,Mexico,Free agent
S. Serdar,Suat Serdar,CM,Germany,Hertha BSC
Enzo Chissano,Enzo Leandro Chissano Baia,LB,Brazil,Palmeiras
A. Fulgini,Angelo Fulgini,CAM,France,1. FSV Mainz 05
Claudio Coíntra,Claudio Nuno Coíntra Calegari,CAM,Brazil,Palmeiras
Wagner Laranjo,Wagner Mauro Laranjo Coelho,CDM,Brazil,Palmeiras
Andeson Trigo,Andeson Jaime Trigo Gonçalves,LB,Brazil,Fluminense
Jadsinho Mei,Jadson José Meireles Correia,CDM,Brazil,Flamengo
Rodrigo Vuarte,Rodrigo Éder Vuarte Ruiz,CDM,Brazil,Clube Atlético Mineiro
Victorio Jabim,Victorio Martin Maia Padilha Jabim,RB,Brazil,Palmeiras
Vieirundinho,Danilo Manuel Vieira Espíndola,CB,Brazil,Santos
Murildo Kauê,Murildo Kauê Cadete Teixeira,LM,Brazil,Palmeiras
Sidney Pessinho,Sidney Adrián Pessoa Vidigal,CDM,Brazil,Internacional
Gelson Martins,Gelson Dany Batalha Martins,RM,Portugal,AS Monaco
Vitor Hugo,Vitor Hugo Franchescoli Souza,CB,Brazil,Trabzonspor
P. Mantalos,Petros Mantalos,CAM,Greece,AEK Athens
J. Boga,Jérémie Boga,RM,Côte d'Ivoire,Atalanta
A. Bakasetas,Anastasios Bakasetas,CAM,Greece,Trabzonspor
R. Saïss,Romain Saïss,CB,Morocco,Beşiktaş JK
A. Thomasson,Adrien Thomasson,CM,France,RC Strasbourg Alsace
H. Mukhtar,Hany Mukhtar,CAM,Germany,Nashville SC
F. Schär,Fabian Schär,CB,Switzerland,Newcastle United
S. Al Dawsari,Salem Al Dawsari,LW,Saudi Arabia,Al Hilal
K. Mbabu,Kevin Mbabu,RB,Switzerland,Fulham
Paulo Oliveira,Paulo André Rodrigues Oliveira,CB,Portugal,SC Braga
Emerson,Emerson Palmieri dos Santos,LB,Italy,West Ham United
M. Wolf,Marius Wolf,RM,Germany,Borussia Dortmund
Hwang Hee Chan,Hee Chan Hwang,LW,Korea Republic,Wolverhampton Wanderers
G. Castrovilli,Gaetano Castrovilli,CAM,Italy,Fiorentina
J. Butez,Jean Butez,GK,France,Royal Antwerp FC
H. Diallo,Habib Diallo,ST,Senegal,RC Strasbourg Alsace
İ. Kahveci,İrfan Can Kahveci,CAM,Turkey,Fenerbahçe SK
A. Diallo,Abdou Diallo,CB,Senegal,RB Leipzig
K. Iheanacho,Kelechi Iheanacho,CAM,Nigeria,Leicester City
S. Mavididi,Stephy Mavididi,ST,England,Montpellier Hérault SC
B. Godfrey,Ben Godfrey,CB,England,Everton
O. Boscagli,Olivier Boscagli,CDM,France,PSV
I. Meslier,Illan Meslier,GK,France,Leeds United
O. Edouard,Odsonne Edouard,ST,France,Crystal Palace
Jairzinho Aníbal,Gabriel Jairo Aníbal Rangel,CDM,Brazil,RB Bragantino
Simão Acunha,Simão Alvin Acunha Bardini,CAM,Brazil,Clube Atlético Mineiro
T. Hübers,Timo Hübers,CB,Germany,1. FC Köln
J. Mæhle,Joakim Mæhle,RWB,Denmark,Atalanta
Jota,João Pedro Neves Filipe,RM,Portugal,Celtic
Florentino,Florentino Morris Luís,CDM,Portugal,SL Benfica
Evander,Evander da Silva Ferreira,CAM,Brazil,FC Midtjylland
R. Sallai,Roland Sallai,RM,Hungary,Sport-Club Freiburg
Y. Herrera,Yangel Herrera,CDM,Venezuela,Girona FC
A. Afif,Akram Afif,RM,Qatar,Free agent
Sequeira,Nuno Miguel Jerónimo Sequeira,LB,Portugal,SC Braga
R. Orsolini,Riccardo Orsolini,CAM,Italy,Bologna
J. Sánchez,Jorge Sánchez,RB,Mexico,Ajax
T. Tissoudali,Tarik Tissoudali,CF,Morocco,KAA Gent
R. Aliendro,Rodrigo Aliendro,CM,Argentina,River Plate
T. Adams,Tyler Adams,CDM,United States,Leeds United
S. Nakajima,Shoya Nakajima,RW,Japan,Antalyaspor
F. Zampedri,Fernando Zampedri,ST,Argentina,Universidad Católica
M. Grujić,Marko Grujić,CM,Serbia,FC Porto
Y. Yazıcı,Yusuf Yazıcı,CAM,Turkey,Trabzonspor
T. Henry,Thomas Henry,ST,France,Hellas Verona
J. Justin,James Justin,RWB,England,Leicester City
R. Perraud,Romain Perraud,CM,France,Southampton
T. Chalobah,Trevoh Chalobah,CB,England,Chelsea
Adilson Edrada,Adilson Patrick Edrada Pereira,CAM,Brazil,Santos
A. Silva,Alejandro Silva,RM,Uruguay,Club Olimpia
F. Müller,Florian Müller,GK,Germany,VfB Stuttgart
W. Hoedt,Wesley Hoedt,CB,Netherlands,RSC Anderlecht
F. Fabra,Frank Fabra,LM,Colombia,Boca Juniors
Diego Llorente,Diego Javier Llorente Ríos,CB,Spain,Leeds United
S. Palacios,Sebastián Palacios,RW,Argentina,Panathinaikos FC
D. Amartey,Daniel Amartey,CB,Ghana,Leicester City
F. Acheampong,Frank Acheampong,LM,Ghana,Shenzhen FC
D. Origi,Divock Origi,ST,Belgium,AC Milan
Puertas,Antonio José Rodríguez Díaz,RM,Spain,Granada CF
R. Loftus-Cheek,Ruben Loftus-Cheek,CAM,England,Chelsea
A. Hamdallah,Abderrazak Hamdallah,ST,Morocco,Al Ittihad
F. Di Francesco,Federico Di Francesco,LW,Italy,Lecce
Thiago Mendes,Thiago Henrique Mendes Ribeiro,CDM,Brazil,Olympique Lyonnais
Helton Leite,Helton Brant Aleixo Leite,GK,Brazil,SL Benfica
G. Cuéllar,Gustavo Cuéllar,CDM,Colombia,Al Hilal
I. Marcone,Iván Marcone,CDM,Argentina,Club Atlético Independiente
L. Dubois,Léo Dubois,RB,France,Galatasaray SK
L. Romero,Lucas Romero,CDM,Argentina,Club Atlético Independiente
L. Sigali,Leonardo Sigali,CB,Argentina,Racing Club
F. Angileri,Fabrizio Angileri,LB,Argentina,Getafe CF
L. Montipò,Lorenzo Montipò,GK,Italy,Hellas Verona
S. Guirassy,Serhou Guirassy,ST,France,VfB Stuttgart
Ayoze Pérez,Ayoze Pérez Gutiérrez,RW,Spain,Leicester City
Kenedy,Robert Kenedy Nunes do Nascimento,LM,Brazil,Real Valladolid CF
A. Petagna,Andrea Petagna,ST,Italy,AC Monza
Y. Sabaly,Youssouf Sabaly,RB,Senegal,Real Betis Balompié
Álvaro García,Álvaro García Rivera,LM,Spain,Rayo Vallecano
M. Philipp,Maximilian Philipp,CF,Germany,VfL Wolfsburg
A. Sørloth,Alexander Sørloth,ST,Norway,Real Sociedad
Luan Peres,Luan Peres Petroni,LB,Brazil,Fenerbahçe SK
Vanderson,Vanderson de Oliveira Campos,RM,Brazil,AS Monaco
C. Fassnacht,Christian Fassnacht,RM,Switzerland,BSC Young Boys
Germán,Germán Sánchez Barahona,CB,Spain,Racing Santander
M. Bizot,Marco Bizot,GK,Netherlands,Stade Brestois 29
M. Ozdoev,Magomed Ozdoev,CDM,Russia,Fatih Karagümrük S.K.
E. Sviatchenko,Erik Sviatchenko,CB,Denmark,FC Midtjylland
Álex Fernández,Alejandro Fernández Iglesias,CM,Spain,Cádiz CF
D. Vida,Domagoj Vida,CB,Croatia,AEK Athens
R. Barkley,Ross Barkley,CAM,England,OGC Nice
Dani Rodríguez,Daniel Rodríguez Vázquez,LM,Spain,RCD Mallorca
D. Boyata,Dedryck Boyata,CB,Belgium,Club Brugge KV
N. Sliti,Naïm Sliti,LM,Tunisia,Ettifaq FC
A. Mooy,Aaron Mooy,CM,Australia,Celtic
A. Townsend,Andros Townsend,RM,England,Everton
H. Seferović,Haris Seferović,ST,Switzerland,Galatasaray SK
X. Shaqiri,Xherdan Shaqiri,CAM,Switzerland,Chicago Fire Football Club
M. Braithwaite,Martin Braithwaite,ST,Denmark,RCD Espanyol de Barcelona
Jaume Costa,Jaume Vicent Costa Jordá,LB,Spain,RCD Mallorca
M. Gonalons,Maxime Gonalons,CDM,France,Clermont Foot 63
M. Uth,Mark Uth,CAM,Germany,1. FC Köln
Juan Jesus,Juan Guilherme Nunes Jesus,CB,Brazil,Napoli
J. Schlupp,Jeffrey Schlupp,LM,Ghana,Crystal Palace
D. Sidibé,Djibril Sidibé,RB,France,AEK Athens
K. Günter,Koray Günter,CB,Germany,Hellas Verona
Luís Neto,Luís Carlos Novo Neto,CB,Portugal,Sporting CP
X. Mercier,Xavier Mercier,CAM,France,Ferencvárosi TC
H. Van Crombrugge,Hendrik Van Crombrugge,GK,Belgium,RSC Anderlecht
Roque Mesa,Roque Mesa Quevedo,CM,Spain,Real Valladolid CF
T. Vilhena,Tonny Vilhena,LM,Netherlands,US Salernitana 1919
M. Elyounoussi,Mohamed Elyounoussi,LM,Norway,Southampton
R. Knoche,Robin Knoche,CB,Germany,1. FC Union Berlin
G. Defrel,Grégoire Defrel,CF,France,U.S. Sassuolo Calcio
J. Roussillon,Jérôme Roussillon,LB,France,VfL Wolfsburg
S. Armstrong,Stuart Armstrong,RM,Scotland,Southampton
J. Kurtić,Jasmin Kurtić,CM,Slovenia,PAOK
C. Tătărușanu,Ciprian Tătărușanu,GK,Romania,AC Milan
R. Falk,Rasmus Falk,CM,Denmark,F.C. København
R. Saponara,Riccardo Saponara,CAM,Italy,Fiorentina
K. Vogt,Kevin Vogt,CB,Germany,TSG Hoffenheim
C. Wood,Chris Wood,ST,New Zealand,Newcastle United
J. Pastore,Javier Pastore,CAM,Argentina,Elche CF
Ó. Romero,Óscar Romero,CAM,Paraguay,Boca Juniors
J. Bednarek,Jan Bednarek,CB,Poland,Aston Villa
H. Wilson,Harry Wilson,CAM,Wales,Fulham
É. Gutiérrez,Érick Gutiérrez,CM,Mexico,PSV
David Raya,David Raya Martin,GK,Spain,Brentford
S. Ingason,Sverrir Ingi Ingason,CB,Iceland,PAOK
L. Acosta,Luciano Acosta,CAM,Argentina,FC Cincinnati
Lee Jae Sung,Jae Sung Lee,CAM,Korea Republic,1. FSV Mainz 05
A. Morelos,Alfredo Morelos,ST,Colombia,Rangers FC
J. Staněk,Jindřich Staněk,GK,Czech Republic,FC Viktoria Plzeň
H. Winks,Harry Winks,CM,England,U.C. Sampdoria
T. Baumgartl,Timo Baumgartl,CB,Germany,1. FC Union Berlin
S. Becker,Sheraldo Becker,ST,Suriname,1. FC Union Berlin
P. Bernardoni,Paul Bernardoni,GK,France,Angers SCO
H. Martín,Henry Martín,ST,Mexico,Free agent
S. Amrabat,Sofyan Amrabat,CM,Morocco,Fiorentina
Diego Rico,Diego Rico Salguero,LB,Spain,Real Sociedad
D. Brooks,David Brooks,CAM,Wales,AFC Bournemouth
S. Blanco,Sebastián Blanco,CAM,Argentina,Portland Timbers
Zaldúa,Joseba Zaldúa Bengoetxea,RB,Spain,Cádiz CF
Ł. Skorupski,Łukasz Skorupski,GK,Poland,Bologna
J. Baumgartlinger,Julian Baumgartlinger,CDM,Austria,FC Augsburg
Aridane,Aridane Hernández Umpiérrez,CB,Spain,CA Osasuna
L. Cooper,Liam Cooper,CB,Scotland,Leeds United
A. Westwood,Ashley Westwood,CDM,England,Burnley
B. Dost,Bas Dost,ST,Netherlands,FC Utrecht
A. Budimir,Ante Budimir,ST,Croatia,CA Osasuna
M. Isla,Mauricio Isla,RB,Chile,Universidad Católica
A. Ramsey,Aaron Ramsey,CM,Wales,OGC Nice
G. Kakuta,Gaël Kakuta,CAM,Congo DR,Racing Club de Lens
P. van Aanholt,Patrick van Aanholt,LB,Netherlands,Galatasaray SK
G. Escalante,Gonzalo Escalante,CDM,Argentina,US Cremonese
B. Meling,Birger Meling,LB,Norway,Stade Rennais FC
B. Santamaria,Baptiste Santamaria,CM,France,Stade Rennais FC
M. Borja,Miguel Borja,ST,Colombia,River Plate
L. Advíncula,Luis Advíncula,RB,Peru,Boca Juniors
P. Terracciano,Pietro Terracciano,GK,Italy,Fiorentina
L. Robertone,Lucas Robertone,CAM,Argentina,Unión Deportiva Almería
A. Skov Olsen,Andreas Skov Olsen,LM,Denmark,Club Brugge KV
P. Struijk,Pascal Struijk,CB,Netherlands,Leeds United
G. Nyamsi,Gerzino Nyamsi,CB,France,RC Strasbourg Alsace
S. Żurkowski,Szymon Żurkowski,RM,Poland,Fiorentina
N. Casale,Nicolò Casale,CB,Italy,Lazio
B. Soumaré,Boubakary Soumaré,CM,France,Leicester City
A. Mac Allister,Alexis Mac Allister,CAM,Argentina,Brighton & Hove Albion
A. Boupendza,Aaron Boupendza,ST,Gabon,Al Shabab
O. Alderete,Omar Alderete,CB,Paraguay,Getafe CF
Leo Baptistao,Leonardo Carrilho Baptistão,CF,Brazil,Unión Deportiva Almería
Ander Guevara,Ander Guevara Lajo,CM,Spain,Real Sociedad
R. Yaremchuk,Roman Yaremchuk,ST,Ukraine,Club Brugge KV
M. Ojeda,Martín Ojeda,CAM,Argentina,Godoy Cruz
L. Dendoncker,Leander Dendoncker,CDM,Belgium,Aston Villa
David Seijalbo,David Jefferson Seijalbo Vaz,CDM,Brazil,Clube Atlético Mineiro
Rubem Esteiro,Rubem Thomas Esteiro Branco,RM,Brazil,Palmeiras
Nicolás Filhei,Nicolás Evandro Filheiro Stein,CAM,Brazil,Palmeiras
Óscar,Óscar Rodríguez Arnaiz,CAM,Spain,RC Celta de Vigo
E. Dennis,Emmanuel Dennis,ST,Nigeria,Nottingham Forest
C. Ejuke,Chidera Ejuke,RM,Nigeria,Hertha BSC
F. Niță,Florin Niță,GK,Romania,Free agent
C. Rodríguez,Carlos Rodríguez,CAM,Mexico,Free agent
M. Moreno,Marcelino Moreno,CAM,Argentina,Atlanta United
G. Konan,Ghislain Konan,LB,Côte d'Ivoire,Al Nassr
E. Eze,Eberechi Eze,CAM,England,Crystal Palace
Marc Roca,Marc Roca Junqué,CM,Spain,Leeds United
E. Barco,Esequiel Barco,CAM,Argentina,River Plate
J. Mateta,Jean-Philippe Mateta,ST,France,Crystal Palace
R. Koch,Robin Koch,CB,Germany,Leeds United
F. Medina,Facundo Medina,CB,Argentina,Racing Club de Lens
J. Kluivert,Justin Kluivert,CAM,Netherlands,Valencia CF
K. Bare,Keidi Bare,CDM,Albania,RCD Espanyol de Barcelona
