Overall,Potential,Value(in Euro),Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Wage(in Euro),Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Attacking Work Rate_High,Attacking Work Rate_Low,Attacking Work Rate_Medium,Defensive Work Rate_High,Defensive Work Rate_Low,Defensive Work Rate_Medium
74,77,5500000,26,191,86,1754,374,28000,1,3,3,1,67,73,60,71,29,74,52,78,77,69,69,71,61,43,51,74,67,67,64,70,63,74,80,72,84,61,50,28,74,61,69,70,27,18,24,14,10,12,14,6,76,69,71,71,71,69,71,70,64,70,53,51,53,50,48,50,20,0,0,1,0,0,1
74,74,3800000,28,177,73,1907,408,16000,0,3,2,1,74,56,65,69,69,75,69,55,59,72,50,68,71,38,65,73,75,73,67,69,67,63,66,88,67,48,79,72,65,56,62,64,69,72,68,13,15,13,8,12,66,67,66,66,66,67,68,71,70,71,74,73,74,74,72,74,20,0,0,1,0,0,1
74,74,3100000,31,186,80,1968,418,11000,1,3,3,2,61,63,75,71,75,73,79,58,73,80,54,72,78,42,75,73,58,63,66,71,60,76,77,61,78,67,76,77,70,72,43,77,75,75,72,14,6,7,12,8,71,70,70,70,70,70,73,73,74,73,74,74,74,74,74,74,19,0,0,1,0,0,1
74,76,5500000,25,175,73,1769,379,1000,1,3,3,1,82,70,67,78,25,57,72,73,36,66,54,79,70,66,56,76,84,80,86,67,85,67,66,62,54,74,57,16,73,71,56,74,25,23,34,9,10,7,6,9,70,75,73,73,73,75,75,75,66,75,55,50,55,51,41,51,17,1,0,0,0,1,0
74,74,3500000,29,196,88,1717,379,20000,1,3,2,2,64,50,62,56,73,74,51,52,82,72,28,54,38,36,71,67,62,65,38,64,33,64,82,49,82,32,81,68,60,62,55,67,72,74,70,8,14,12,11,8,64,59,61,61,61,59,63,63,66,63,66,71,66,68,74,68,18,0,1,0,1,0,0
74,74,2700000,33,171,76,1729,361,1000,1,4,2,1,67,79,56,62,27,70,58,84,78,62,72,55,38,63,40,66,65,69,68,66,74,80,84,78,77,70,38,22,81,56,80,67,33,11,17,6,12,8,12,6,74,66,68,68,68,66,66,66,59,66,50,46,50,48,44,48,17,1,0,0,0,0,1
74,74,1700000,35,176,73,2004,418,9000,0,4,4,2,74,75,73,76,47,73,71,75,64,76,71,76,74,77,69,76,76,72,77,71,83,79,75,82,69,74,70,55,71,73,64,73,48,39,36,9,12,13,15,12,74,74,74,74,74,74,74,74,73,74,66,65,66,62,58,62,21,1,0,0,0,1,0
74,79,6000000,24,193,88,1554,346,21000,1,2,2,1,64,34,49,52,74,73,31,29,75,68,33,49,32,28,62,57,55,72,41,73,45,55,60,54,82,21,78,71,31,33,49,66,72,77,75,9,9,7,13,8,54,48,49,49,49,48,51,53,57,53,65,70,65,68,76,68,19,0,1,0,0,0,1
74,82,9500000,23,172,67,1773,377,13000,1,3,4,1,79,68,70,79,29,52,70,68,29,72,64,80,69,58,59,77,84,75,88,70,75,69,49,69,46,66,44,35,67,77,72,74,31,25,27,14,9,12,11,12,68,74,73,73,73,74,76,75,69,75,59,54,59,54,42,54,20,1,0,0,0,1,0
74,77,5500000,25,177,70,2074,439,13000,1,4,4,1,84,72,70,75,67,71,74,69,60,69,67,73,78,74,55,74,83,85,81,75,80,77,71,78,66,74,76,69,72,74,67,75,68,68,67,13,15,7,6,9,74,74,74,74,74,74,75,75,72,75,75,71,75,74,71,74,20,0,0,1,0,0,1
74,75,5000000,26,185,80,1884,399,10000,1,4,4,1,76,69,73,74,41,66,72,69,65,74,69,74,73,72,71,73,77,75,84,69,59,70,71,70,68,71,56,38,71,74,57,75,39,38,36,12,13,11,6,7,73,73,72,72,72,73,75,75,71,75,61,59,61,58,53,58,18,0,0,1,0,0,1
74,74,2100000,33,182,67,1949,411,19000,1,3,3,1,72,59,68,69,72,71,62,56,58,73,62,67,66,57,73,70,71,73,72,72,72,67,69,85,62,59,78,76,64,64,55,76,72,74,72,10,10,9,13,6,67,67,67,67,67,67,70,71,72,71,74,74,74,74,73,74,19,0,0,1,1,0,0
74,83,9000000,21,171,66,1736,378,25000,0,3,3,1,72,44,62,68,72,60,67,42,62,70,36,66,52,34,53,71,76,69,70,66,74,50,62,75,51,41,65,74,56,57,38,62,66,78,75,6,6,10,12,6,60,63,61,61,61,63,64,67,66,67,73,70,73,74,70,74,16,0,0,1,0,0,1
74,80,6000000,24,185,72,1805,387,30000,1,2,3,1,76,39,66,71,69,66,70,35,66,72,37,70,57,35,66,72,73,79,76,70,74,44,69,79,61,34,61,67,68,63,48,71,65,74,72,10,6,9,11,12,61,66,64,64,64,66,68,71,70,71,74,71,74,74,70,74,18,0,0,1,0,0,1
74,74,3300000,32,179,72,1959,413,13000,1,3,3,1,78,72,70,78,50,65,69,70,65,68,65,78,81,69,67,77,81,75,86,73,82,79,55,80,61,70,60,44,77,72,69,78,45,54,50,8,7,6,7,9,74,74,74,74,74,74,74,74,72,74,66,63,66,64,58,64,17,1,0,0,0,0,1
74,79,5500000,26,188,83,1824,399,19000,1,3,2,1,58,59,65,69,71,77,55,58,68,74,37,70,57,38,71,74,65,53,55,71,50,73,63,80,80,56,69,71,65,65,41,68,70,74,72,13,10,7,8,11,68,65,67,67,67,65,70,69,73,69,71,75,71,71,74,71,19,0,0,1,0,0,1
74,80,6500000,24,181,74,1892,398,40000,1,3,4,1,54,57,74,77,69,67,64,54,49,80,49,73,64,66,73,83,45,62,74,74,81,63,53,65,66,60,74,70,60,77,53,74,72,72,66,12,11,13,8,6,65,68,68,68,68,68,74,71,76,71,72,76,72,70,71,70,19,0,0,1,0,0,1
74,77,5500000,26,182,90,1810,390,17000,1,3,3,1,73,71,66,75,38,67,73,74,69,69,58,77,59,54,57,76,69,76,67,74,69,80,78,62,77,58,45,30,74,64,68,69,41,33,24,8,15,14,8,10,76,73,73,73,73,73,73,74,67,74,58,55,58,55,51,55,19,0,0,1,0,0,1
74,83,9500000,22,168,58,1861,389,17000,0,3,4,1,76,64,70,80,49,50,72,64,48,75,64,81,67,50,64,77,83,71,89,67,91,61,58,56,42,65,61,39,71,67,66,74,50,54,51,14,13,14,7,9,68,74,72,72,72,74,75,75,70,75,64,61,64,62,55,62,19,1,0,0,0,0,1
74,74,4200000,28,177,80,1941,420,12000,0,3,4,1,82,76,72,78,41,71,69,73,45,71,70,82,83,76,74,75,86,79,71,66,83,87,47,57,78,78,77,38,66,73,75,74,46,39,34,9,6,7,11,10,74,74,74,74,74,74,74,74,71,74,60,61,60,57,54,57,17,0,0,1,0,1,0
74,78,5500000,24,178,69,1896,405,7000,1,3,3,1,63,57,67,71,73,74,53,56,68,74,54,69,63,47,73,73,66,61,73,73,71,67,63,78,73,52,73,74,60,69,55,72,73,74,71,6,11,7,9,7,67,65,66,66,66,65,70,69,73,69,72,75,72,72,74,72,17,0,0,1,1,0,0
74,80,7000000,21,178,72,1797,381,26000,1,3,3,1,80,75,60,71,33,62,62,75,73,63,74,70,54,55,47,74,77,82,67,69,71,85,74,64,67,68,42,32,74,64,74,69,24,31,27,10,14,11,8,15,76,71,72,72,72,71,71,71,64,71,55,51,55,53,48,53,20,1,0,0,0,0,1
74,76,3500000,29,188,86,1259,412,20000,0,3,1,1,73,72,74,75,46,72,15,15,16,40,14,16,17,15,39,30,46,47,47,69,33,56,57,35,68,15,27,15,14,68,26,66,23,14,16,73,72,74,72,75,34,31,34,34,34,31,39,36,39,36,31,35,31,30,31,30,75,0,0,1,0,0,1
74,77,5500000,25,178,69,1739,375,22000,1,3,3,1,73,66,69,73,35,59,73,73,59,70,49,74,52,41,69,75,78,69,76,70,62,63,68,66,60,58,47,33,74,73,58,69,35,30,31,6,12,12,15,8,71,73,72,72,72,73,74,75,69,75,58,56,58,55,48,55,19,0,0,1,0,0,1
74,74,2200000,33,173,75,1923,407,850,1,3,3,1,83,48,62,70,70,74,69,40,59,67,40,66,65,45,66,67,90,77,88,77,80,64,90,76,70,51,77,73,48,46,55,69,68,73,71,11,14,11,14,15,62,64,61,61,61,64,64,68,66,68,74,72,74,74,73,74,22,0,0,1,0,0,1
74,83,8500000,24,183,92,1649,373,34000,1,3,2,1,74,26,55,63,74,81,37,19,72,73,26,59,24,30,65,65,70,78,67,68,66,48,75,72,90,16,71,73,27,48,38,71,75,76,68,13,6,8,16,10,53,53,52,52,52,53,57,59,62,59,69,73,69,71,76,71,19,0,0,1,1,0,0
74,74,3800000,28,183,77,1847,399,900,1,3,2,1,77,46,66,64,72,74,74,38,69,68,39,63,58,37,64,63,74,79,71,68,67,56,73,80,71,51,72,67,66,64,38,59,74,74,75,16,8,11,10,9,62,64,62,62,62,64,65,68,67,68,74,71,74,74,73,74,19,1,0,0,0,0,1
74,78,5000000,26,191,87,1595,358,21000,1,3,2,1,78,37,45,50,76,72,40,33,73,54,35,40,30,30,52,58,77,79,54,80,51,62,76,51,81,25,74,73,21,34,38,60,81,74,74,13,10,10,5,7,54,49,49,49,49,49,50,52,53,52,66,68,66,70,76,70,19,0,1,0,1,0,0
74,74,4200000,26,172,64,1864,389,12000,1,3,3,1,74,46,68,74,69,58,72,44,47,73,55,74,67,61,66,73,81,69,83,66,84,52,74,78,46,41,58,77,49,60,50,66,75,65,73,12,10,12,8,9,59,66,63,63,63,66,67,70,69,70,74,72,74,74,68,74,18,0,0,1,0,0,1
74,77,5500000,25,170,60,1808,388,9000,1,4,4,1,82,67,68,79,35,57,60,67,49,74,65,78,70,62,59,75,83,81,93,73,92,70,39,75,56,64,40,38,75,74,51,77,28,35,31,6,12,8,12,13,72,74,74,74,74,74,76,75,70,75,60,56,60,56,46,56,19,1,0,0,0,0,1
74,79,6000000,24,172,68,2011,428,9000,0,3,3,1,80,63,71,76,69,69,75,61,59,72,48,74,69,61,70,74,82,78,84,72,84,68,74,75,61,66,81,71,70,70,58,76,69,69,70,8,8,11,10,9,70,73,71,71,71,73,74,75,73,75,75,73,75,74,71,74,18,1,0,0,0,0,1
74,74,3600000,28,185,75,1746,368,41000,1,2,2,1,50,42,61,67,75,73,47,36,75,70,34,67,55,58,67,70,49,50,63,71,55,55,67,64,78,42,72,74,47,56,42,62,75,78,72,13,10,11,13,10,59,57,58,58,58,57,62,61,67,61,68,73,68,69,74,69,20,0,0,1,0,0,1
74,80,6500000,23,171,65,2023,423,12000,0,3,3,1,73,66,77,76,65,66,75,58,50,79,68,75,82,77,75,76,78,68,79,72,82,80,50,72,64,72,67,70,71,76,60,79,60,69,69,8,5,9,13,14,70,73,72,72,72,73,76,76,76,76,74,73,74,72,68,72,19,0,0,1,0,0,1
74,74,3300000,32,172,68,1858,384,27000,1,4,4,2,71,70,74,78,39,52,71,68,57,76,70,78,74,76,71,78,71,71,83,70,78,72,35,69,48,72,47,55,68,74,71,71,31,33,31,12,16,12,13,7,71,73,73,73,73,73,74,74,73,74,62,60,62,58,49,58,20,0,0,1,0,1,0
74,74,3800000,28,187,87,1941,415,23000,1,3,3,2,73,56,65,68,72,81,69,51,71,64,54,70,66,49,64,68,76,71,65,70,66,68,81,84,80,55,79,71,70,68,40,65,68,75,74,15,15,12,6,6,68,67,67,67,67,67,68,71,70,71,74,73,74,74,74,74,19,1,0,0,1,0,0
74,74,3000000,31,180,85,1926,408,8000,1,3,3,1,65,59,66,70,71,77,52,58,53,73,42,68,64,47,71,71,66,65,80,71,73,64,80,90,72,65,70,75,59,69,50,65,70,76,70,14,9,10,15,14,65,66,66,66,66,66,70,69,73,69,73,74,73,72,73,72,21,0,0,1,1,0,0
74,78,6000000,25,191,93,1832,397,61000,1,3,3,1,65,74,67,70,38,83,58,72,75,72,73,71,57,49,69,76,54,74,53,72,45,83,75,69,91,68,83,37,76,71,69,75,35,37,15,12,13,14,8,6,76,70,73,73,73,70,73,72,70,72,56,60,56,53,56,53,19,0,0,1,0,0,1
74,74,4000000,30,178,73,1944,403,23000,1,3,3,1,49,70,71,71,71,71,64,68,64,76,52,69,60,59,75,78,59,41,56,77,64,80,65,66,70,69,80,70,75,74,70,75,72,73,71,6,14,9,9,9,72,69,71,71,71,69,74,72,74,72,71,74,71,70,73,70,19,0,0,1,1,0,0
74,77,5500000,24,175,64,2081,440,29000,1,3,4,2,80,71,72,79,69,69,64,69,60,77,61,79,79,69,69,79,79,81,88,71,79,75,70,69,68,76,69,69,69,73,65,72,69,72,65,11,13,15,14,15,74,75,75,75,75,75,77,76,76,76,73,74,73,73,71,73,22,0,0,1,0,0,1
74,82,9000000,22,188,78,1703,387,4000,1,3,2,1,87,32,61,68,67,72,72,32,56,66,35,71,55,33,49,69,83,90,59,67,57,26,62,80,71,27,68,68,60,61,41,66,65,72,69,8,8,9,8,6,57,64,61,61,61,64,64,69,65,69,74,69,74,73,70,73,16,1,0,0,0,0,1
74,78,5500000,24,185,80,1632,355,16000,1,3,2,1,59,42,48,55,74,77,41,36,77,62,42,50,36,36,51,62,57,61,54,68,46,59,77,61,86,44,74,72,24,36,42,65,72,75,74,11,14,13,13,6,55,50,50,50,50,50,52,53,56,53,65,68,65,68,76,68,19,0,0,1,0,0,1
74,85,9500000,20,178,75,1829,388,63000,1,3,3,1,88,66,64,75,38,57,67,70,67,68,62,76,70,61,45,73,90,86,83,72,77,64,86,75,52,63,42,31,73,65,56,69,35,38,33,13,5,13,8,10,73,74,72,72,72,74,73,74,65,74,61,53,61,58,50,58,18,1,0,0,1,0,0
74,74,3600000,30,179,74,1918,406,19000,1,3,3,2,66,59,70,71,71,69,73,56,66,74,53,71,62,46,69,74,66,66,68,71,63,73,72,75,65,55,70,70,68,69,49,72,71,73,73,15,10,8,13,11,68,69,68,68,68,69,71,72,73,72,74,74,74,74,72,74,20,1,0,0,0,0,1
74,74,4000000,30,175,68,1924,408,8000,1,5,3,1,61,69,71,76,63,68,60,70,55,79,63,75,65,65,70,75,64,59,83,74,78,73,40,90,64,66,58,66,75,73,50,76,64,66,50,8,11,7,15,13,72,71,72,72,72,71,74,74,74,74,70,72,70,68,65,68,20,1,0,0,1,0,0
74,77,5500000,25,178,75,1844,390,31000,1,4,3,1,78,73,63,74,33,69,58,76,67,71,72,72,66,54,47,74,78,78,81,74,75,75,80,74,68,65,60,28,78,66,74,70,35,26,24,9,10,8,12,9,76,72,74,74,74,72,74,73,66,73,57,53,57,54,49,54,19,1,0,0,0,0,1
74,79,6000000,24,183,80,1889,407,4000,1,3,2,1,77,49,64,66,70,81,69,38,66,68,53,61,56,43,64,69,75,79,73,69,67,70,88,91,78,52,72,68,52,59,47,65,69,71,73,11,12,12,6,8,63,63,61,61,61,63,64,68,67,68,74,72,74,74,73,74,18,1,0,0,1,0,0
74,79,5500000,26,190,73,1739,378,18000,1,3,2,1,64,45,60,55,74,80,46,44,72,70,39,49,46,40,62,63,61,67,47,73,32,56,85,72,84,37,78,76,48,65,47,73,74,73,71,9,12,13,14,14,60,56,58,58,58,56,61,61,66,61,69,73,69,71,76,71,21,0,0,1,1,0,0
74,83,9500000,23,174,60,1843,386,9000,0,3,3,1,83,66,74,76,38,49,78,66,58,74,47,75,80,69,68,76,85,82,85,72,82,67,52,70,32,71,62,23,72,74,54,73,36,44,32,9,10,10,14,14,70,75,73,73,73,75,76,77,71,77,61,57,61,58,48,58,20,0,0,1,0,0,1
74,79,6000000,22,171,69,1805,404,29000,1,3,3,1,80,42,64,75,70,73,68,41,53,68,41,75,50,32,59,73,81,79,84,70,79,46,50,85,70,36,71,71,69,66,27,75,74,72,69,11,11,7,9,8,62,68,65,65,65,68,69,72,70,72,75,72,75,74,71,74,18,1,0,0,0,0,1
74,77,5500000,26,178,76,1890,409,8000,1,2,3,1,76,73,67,76,54,63,51,77,47,71,60,77,62,60,69,78,73,78,72,70,68,72,59,70,60,66,65,60,79,75,67,70,45,64,50,11,7,5,11,11,73,73,75,75,75,73,76,74,74,74,66,67,66,64,61,64,18,1,0,0,0,0,1
74,74,4300000,28,180,76,1948,405,110000,1,4,3,1,74,76,61,71,45,78,50,74,78,66,69,70,74,73,51,69,73,75,79,71,69,82,91,74,77,79,80,45,74,63,72,68,41,40,34,12,14,6,8,15,74,69,71,71,71,69,71,69,66,69,59,59,59,57,59,57,20,0,0,1,0,0,1
74,75,4000000,28,193,88,1636,364,23000,0,3,2,1,66,34,60,53,75,76,55,32,81,68,26,51,43,31,72,52,63,68,51,71,48,44,73,65,83,29,73,75,32,53,45,67,72,79,69,6,6,5,7,8,54,52,51,51,51,52,55,58,62,58,68,72,68,70,75,70,16,0,0,1,0,0,1
74,74,2900000,31,183,81,1667,360,45000,1,2,2,1,69,32,51,55,74,79,43,26,77,60,48,48,36,36,63,55,70,69,64,67,60,42,90,67,82,31,82,70,24,40,38,74,76,75,74,13,9,8,14,10,51,49,47,47,47,49,51,54,56,54,66,69,66,69,74,69,19,0,1,0,1,0,0
74,81,8000000,21,190,80,1710,381,23000,1,3,2,1,74,38,54,63,76,76,36,30,67,64,33,60,51,32,61,63,74,74,65,73,58,61,64,75,80,35,70,78,27,55,44,73,80,75,75,5,12,13,10,10,56,54,55,55,55,54,58,59,63,59,70,73,70,72,76,72,18,1,0,0,1,0,0
74,80,6000000,24,180,74,1787,398,11000,1,3,2,1,91,36,60,69,67,75,66,30,56,66,33,69,58,21,60,68,89,92,82,61,75,48,81,91,71,31,64,69,64,56,33,59,66,71,69,6,14,10,6,11,59,64,61,61,61,64,64,69,66,69,74,70,74,74,70,74,17,1,0,0,1,0,0
74,74,4200000,28,167,68,1820,392,13000,0,4,3,1,84,67,70,76,38,57,72,68,37,71,52,77,74,58,66,73,86,83,83,69,91,68,45,80,45,70,60,35,66,70,53,66,41,37,38,12,5,14,8,13,68,73,71,71,71,73,74,74,69,74,63,58,63,59,48,59,18,1,0,0,0,1,0
74,75,5000000,26,185,76,1781,390,34000,1,4,3,1,88,71,69,74,30,58,70,69,49,70,74,76,68,54,66,73,89,88,75,73,71,76,45,67,60,73,43,22,69,71,57,71,31,30,23,7,9,14,13,6,72,74,73,73,73,74,75,75,68,75,57,53,57,54,44,54,18,1,0,0,0,1,0
74,84,9500000,21,182,90,1770,382,750,1,3,3,1,78,72,57,69,30,76,47,75,76,67,57,69,56,44,43,70,76,79,69,69,68,80,84,73,85,64,57,32,74,64,65,70,22,22,25,9,12,14,13,10,76,69,71,71,71,69,70,69,63,69,53,51,53,51,49,51,20,1,0,0,0,0,1
74,74,3500000,31,175,72,1958,415,22000,1,3,3,1,73,69,73,74,60,66,69,70,53,78,59,75,67,54,75,74,75,72,77,70,73,67,72,65,72,74,52,66,72,75,62,69,45,73,59,9,13,13,12,16,72,73,73,73,73,73,74,74,74,74,70,70,70,68,65,68,21,0,0,1,0,0,1
74,74,3300000,32,174,70,2051,421,10000,1,4,3,2,64,69,75,75,68,70,71,66,64,78,64,76,77,67,75,76,67,62,71,71,74,74,71,74,64,68,82,63,75,76,84,80,70,72,68,9,11,15,9,7,72,72,73,73,73,72,74,74,74,74,73,74,73,72,71,72,18,1,0,0,1,0,0
74,76,4800000,26,180,71,1865,404,41000,1,2,2,1,75,47,66,68,73,75,74,42,73,71,36,67,56,41,66,69,73,76,69,67,73,64,77,74,74,41,77,71,60,56,46,66,73,75,73,9,15,11,6,10,64,64,63,63,63,64,65,69,67,69,74,73,74,74,75,74,18,0,0,1,0,0,1
74,74,2900000,31,184,80,1703,365,22000,1,2,2,1,69,40,51,57,76,72,47,36,75,61,54,52,45,30,55,60,63,74,55,73,65,50,81,64,76,34,69,76,39,42,44,70,77,75,74,10,10,6,16,15,57,53,53,53,53,53,55,57,59,57,68,69,68,71,74,71,21,0,0,1,0,0,1
74,74,2100000,34,188,91,1980,420,15000,1,3,3,2,70,74,69,69,58,80,68,71,77,68,72,72,73,59,66,74,66,73,50,69,39,82,76,64,86,70,86,58,76,76,75,80,45,60,70,8,15,6,15,15,74,71,73,73,73,71,73,73,71,73,67,68,67,67,69,67,21,1,0,0,0,0,1
74,74,3500000,30,188,82,1957,419,8000,0,3,3,1,64,61,71,73,67,83,67,54,59,75,54,74,53,63,76,73,59,68,66,69,72,75,62,82,88,65,77,71,57,72,63,80,65,68,68,13,16,8,12,13,67,67,67,67,67,67,71,71,74,71,72,74,72,71,72,71,21,0,0,1,0,0,1
74,74,4200000,28,174,73,1954,405,34000,1,4,3,2,76,70,72,78,45,64,74,67,65,70,75,78,75,65,72,78,79,74,84,70,80,72,72,74,58,72,65,35,74,73,69,70,47,46,35,14,14,8,8,12,73,74,73,73,73,74,74,74,72,74,63,61,63,60,55,60,20,1,0,0,0,0,1
74,74,3500000,29,192,79,1583,337,17000,1,3,2,2,32,41,55,58,75,76,40,43,78,72,27,53,27,31,62,68,32,32,53,70,34,45,82,64,85,39,66,70,42,49,34,64,75,77,72,13,9,13,13,13,56,51,53,53,53,51,57,55,64,55,64,72,64,66,74,66,20,0,0,1,1,0,0
74,79,5000000,24,180,85,1259,419,13000,1,3,1,1,74,69,73,77,53,73,14,15,19,38,19,18,20,14,33,25,52,55,35,67,61,55,65,42,65,19,30,25,12,25,18,48,14,17,21,74,69,73,73,77,34,29,30,30,30,29,32,33,33,33,33,33,33,33,32,33,75,0,0,1,0,0,1
74,75,4600000,25,176,67,1912,395,22000,1,2,3,1,70,49,65,70,71,70,69,30,64,70,51,68,61,49,67,72,74,67,68,75,73,74,74,75,63,62,78,74,64,55,55,65,68,74,75,6,13,16,13,15,63,64,64,64,64,64,66,68,69,68,74,73,74,74,73,74,21,1,0,0,0,0,1
74,74,4500000,27,185,77,1868,417,23000,0,2,3,1,94,67,67,73,56,60,72,64,47,69,61,75,64,44,62,71,93,95,79,71,72,75,46,72,66,69,34,58,69,67,60,60,58,59,50,8,8,10,12,8,71,74,72,72,72,74,73,74,70,74,70,64,70,68,59,68,18,0,0,1,0,0,1
74,78,6000000,24,181,70,1901,408,19000,1,4,3,1,83,68,69,75,54,59,67,71,54,74,58,74,68,50,68,74,83,83,84,70,80,69,66,79,49,65,58,43,70,70,61,63,56,59,55,6,7,12,12,6,71,73,72,72,72,73,75,75,72,75,68,65,68,66,59,66,17,1,0,0,0,0,1
74,74,2000000,33,191,83,1637,341,13000,0,3,2,1,33,44,54,60,75,75,33,38,76,69,55,60,56,28,67,67,34,33,42,66,34,65,80,56,83,37,76,74,40,47,40,67,77,74,76,9,14,11,10,10,57,50,53,53,53,50,56,54,63,54,63,72,63,65,74,65,19,0,0,1,1,0,0
74,74,475000,38,193,79,1196,402,22000,1,2,1,2,71,73,65,74,44,75,10,17,13,35,15,24,17,13,35,25,44,43,50,76,50,49,62,33,55,15,32,17,10,43,21,70,10,12,12,71,73,65,75,74,32,30,31,31,31,30,35,33,34,33,28,31,28,27,27,27,74,0,0,1,0,0,1
74,86,10000000,19,181,67,1800,391,13000,1,4,4,1,91,67,65,77,33,58,73,68,68,69,52,79,64,57,59,73,90,92,88,68,74,69,66,68,61,66,36,40,65,59,62,69,36,20,18,9,13,12,12,14,72,74,72,72,72,74,73,75,65,75,59,52,59,55,46,55,20,0,0,1,0,0,1
74,75,4400000,27,179,68,1870,410,9000,1,3,3,1,92,45,61,72,67,73,66,43,63,67,45,70,59,34,58,71,91,93,82,70,74,53,84,92,65,38,65,69,67,56,41,75,67,67,66,9,8,12,10,15,65,68,65,65,65,68,67,72,67,72,75,70,75,74,70,74,19,1,0,0,0,0,1
74,74,4099999,29,191,84,1840,393,23000,0,3,3,1,41,63,70,66,75,78,59,60,70,76,40,67,60,44,74,75,34,47,42,78,34,77,62,79,86,62,60,77,62,76,57,66,72,78,74,12,11,16,6,13,68,64,67,67,67,64,70,68,74,68,72,74,72,72,74,72,20,0,0,1,1,0,0
74,77,4200000,26,188,83,1202,407,10000,1,2,1,1,74,71,62,76,47,77,16,19,17,25,17,15,14,18,25,15,47,48,36,70,54,47,68,27,67,14,26,21,15,45,21,43,20,21,14,74,71,62,77,76,32,27,29,29,29,27,30,30,30,30,28,30,28,29,31,29,75,0,0,1,0,0,1
74,77,6000000,24,183,76,2089,442,9000,1,3,3,1,67,74,71,70,73,87,61,76,83,78,67,68,55,52,75,74,65,68,58,79,68,76,85,94,83,71,91,68,82,76,66,76,72,73,71,14,8,7,14,11,77,72,75,75,75,72,76,76,77,76,75,77,75,75,77,75,21,1,0,0,1,0,0
74,79,4900000,25,186,80,1126,409,8000,1,3,1,1,76,69,71,79,44,70,10,5,12,40,8,13,11,13,49,16,45,43,55,73,42,53,69,26,52,5,21,6,5,34,17,42,13,13,12,76,69,71,70,79,27,24,26,26,26,24,30,29,32,29,26,29,26,25,25,25,75,0,0,1,0,0,1
74,74,3400000,32,186,80,1863,394,13000,0,3,3,1,72,75,63,66,34,84,57,76,81,70,71,63,52,53,58,66,71,73,76,70,63,74,84,83,86,69,82,30,79,68,85,74,30,28,20,6,10,8,12,9,74,69,71,71,71,69,71,70,66,70,55,56,55,53,53,53,18,1,0,0,1,0,0
74,74,3500000,31,183,77,2056,427,1000,0,3,3,1,63,71,75,72,70,76,73,72,69,75,65,72,72,71,74,73,62,64,68,73,67,72,72,85,74,70,73,69,72,80,68,73,73,69,69,15,10,16,13,6,73,72,72,72,72,72,74,74,74,74,74,74,74,73,73,73,20,1,0,0,1,0,0
74,75,4099999,28,177,68,1852,387,20000,1,3,3,1,55,49,71,70,69,73,62,41,55,77,47,70,56,64,74,72,60,51,59,72,69,61,44,84,68,51,77,67,61,73,55,69,70,73,72,8,14,16,14,15,61,64,64,64,64,64,69,69,74,69,72,75,72,71,70,71,21,0,0,1,1,0,0
74,75,4800000,27,185,88,2088,447,17000,1,3,3,1,79,73,72,75,71,77,68,69,69,75,61,76,69,65,74,75,78,80,75,73,69,82,71,75,78,78,79,72,75,71,66,73,70,73,72,6,14,8,7,15,75,74,75,75,75,74,75,75,75,75,75,75,75,75,75,75,19,1,0,0,0,0,1
74,82,9000000,22,180,69,1775,387,40000,1,4,2,1,76,38,62,67,73,71,71,34,65,69,30,66,60,39,59,69,75,76,66,66,69,45,74,75,70,37,67,72,56,50,39,65,74,74,72,10,10,15,12,9,59,62,59,59,59,62,62,67,65,67,74,71,74,74,73,74,19,1,0,0,0,0,1
74,74,4200000,28,183,77,2020,416,23000,1,3,3,1,53,75,73,70,70,75,63,75,75,80,73,70,68,67,75,74,51,54,60,71,63,76,71,70,80,71,68,72,78,74,78,71,66,72,68,13,7,9,16,12,74,70,72,72,72,70,74,72,74,72,71,74,71,70,74,70,20,0,0,1,0,0,1
74,74,3600000,30,172,63,2099,437,45000,0,2,3,1,78,72,71,73,67,76,75,69,64,73,70,73,72,66,70,73,79,77,78,73,77,80,85,87,66,74,83,66,70,66,72,62,65,69,67,16,12,9,9,14,74,73,72,72,72,73,74,74,74,74,74,73,74,74,71,74,21,1,0,0,1,0,0
74,74,4500000,27,180,75,1962,427,1000,1,5,3,1,82,67,68,75,62,73,74,68,58,73,44,75,61,49,60,75,86,79,78,72,75,76,78,79,71,64,67,58,72,64,50,69,61,65,65,14,12,12,15,12,73,74,73,73,73,74,74,74,71,74,73,69,73,71,67,71,22,0,0,1,0,0,1
